Date,Bullish,Neutral,Bearish,Total,Mov Avg,Spread,Average,+St. Dev.,- St. Dev.,High,Low,Close
2002-05-29,0.2826,0.3152,0.4022,1.0,0.3170125,-0.1195999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596,1085.98,1067.66,1067.66
2002-06-06,0.3279,0.2787,0.3934,1.0,0.3227375,-0.0655,0.3761076426708409,0.4773140559726221,0.2749012293690596,1070.74,1030.52,1049.9
2002-06-13,0.3182,0.3455,0.3364,1.0001,0.3122625,-0.0181999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596,1039.04,1002.58,1020.26
2002-06-20,0.4571,0.2857,0.2571,0.9999,0.3235625,0.2,0.3761076426708409,0.4773140559726221,0.2749012293690596,1040.83,1007.27,1019.99
2002-06-27,0.3097,0.2301,0.4602,1.0,0.3284875,-0.1505,0.3761076426708409,0.4773140559726221,0.2749012293690596,1005.88,952.92,973.53
2002-07-03,0.2656,0.2656,0.4688,1.0,0.3238625,-0.2032,0.3761076426708409,0.4773140559726221,0.2749012293690596,994.46,934.87,989.03
2002-07-11,0.3505,0.2268,0.4227,1.0,0.3216875,-0.0722,0.3761076426708409,0.4773140559726221,0.2749012293690596,993.56,920.29,920.47
2002-07-18,0.2625,0.2,0.5375,1.0,0.3217625,-0.2749999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596,926.52,876.46,906.04
2002-07-25,0.2791,0.2326,0.4884,1.0001,0.321325,-0.2092999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596,854.13,775.68,843.43
2002-08-01,0.3421,0.3421,0.3158,1.0,0.3231,0.0262999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596,911.64,852.84,911.62
2002-08-08,0.377,0.2295,0.3934,0.9999,0.33045,-0.0164,0.3761076426708409,0.4773140559726221,0.2749012293690596,878.74,833.44,876.77
2002-08-15,0.3793,0.2069,0.4138,1.0,0.320725,-0.0344999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596,920.21,876.2,919.62
2002-08-22,0.4375,0.1667,0.3958,1.0,0.3367,0.0417,0.3761076426708409,0.4773140559726221,0.2749012293690596,951.59,927.21,949.36
2002-08-29,0.5,0.2097,0.2903,1.0,0.366,0.2097,0.3761076426708409,0.4773140559726221,0.2749012293690596,955.82,913.21,917.87
2002-09-05,0.3148,0.1852,0.5,1.0,0.3615375,-0.1851999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596,916.07,875.73,893.4
2002-09-12,0.3836,0.2466,0.3699,1.0001,0.376675,0.0136999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596,924.02,882.92,909.45
2002-09-19,0.3378,0.2297,0.4324,0.9999,0.3840125,-0.0946,0.3761076426708409,0.4773140559726221,0.2749012293690596,902.68,839.09,845.39
2002-09-26,0.2451,0.2843,0.4706,1.0,0.3718875,-0.2255,0.3761076426708409,0.4773140559726221,0.2749012293690596,845.39,817.38,839.66
2002-10-03,0.3521,0.169,0.4789,1.0,0.368775,-0.1267999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596,851.93,800.2,827.91
2002-10-10,0.2885,0.1635,0.5481,1.0001,0.357425,-0.2596,0.3761076426708409,0.4773140559726221,0.2749012293690596,808.86,775.8,776.76
2002-10-17,0.3947,0.2105,0.3947,0.9999,0.3520749999999999,0.0,0.3761076426708409,0.4773140559726221,0.2749012293690596,881.27,828.37,860.02
2002-10-24,0.4458,0.2169,0.3373,1.0,0.3453,0.1084999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596,900.69,873.06,896.14
2002-10-31,0.5147,0.2059,0.2794,1.0,0.3702874999999999,0.2353,0.3761076426708409,0.4773140559726221,0.2749012293690596,907.44,867.91,890.71
2002-11-07,0.5,0.2368,0.2632,1.0,0.3848375,0.2368,0.3761076426708409,0.4773140559726221,0.2749012293690596,925.66,900.96,923.76
2002-11-14,0.4865,0.1892,0.3243,1.0,0.403425,0.1622,0.3761076426708409,0.4773140559726221,0.2749012293690596,894.74,872.05,882.53
2002-11-21,0.5056,0.2809,0.2135,1.0,0.4359875,0.2921,0.3761076426708409,0.4773140559726221,0.2749012293690596,915.91,893.09,914.15
2002-11-28,0.5106,0.1702,0.3191,0.9999,0.4558,0.1915,0.3761076426708409,0.4773140559726221,0.2749012293690596,941.82,912.1,936.31
2002-12-05,0.5294,0.2941,0.1765,1.0,0.4859124999999999,0.3529,0.3761076426708409,0.4773140559726221,0.2749012293690596,954.28,927.72,934.53
2002-12-12,0.4138,0.3448,0.2414,1.0,0.4883,0.1724,0.3761076426708409,0.4773140559726221,0.2749012293690596,912.23,891.97,904.96
2002-12-19,0.4286,0.2714,0.3,1.0,0.48615,0.1286,0.3761076426708409,0.4773140559726221,0.2749012293690596,911.22,887.82,891.12
2002-12-26,0.4,0.28,0.32,1.0,0.4718124999999999,0.08,0.3761076426708409,0.4773140559726221,0.2749012293690596,902.43,892.26,897.38
2003-01-02,0.3243,0.2973,0.3784,1.0,0.4498499999999999,-0.0541,0.3761076426708409,0.4773140559726221,0.2749012293690596,882.1,869.45,879.82
2003-01-09,0.381,0.1905,0.4286,1.0001,0.4366624999999999,-0.0475999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596,931.77,908.32,909.93
2003-01-16,0.2917,0.4167,0.2917,1.0001,0.409925,0.0,0.3761076426708409,0.4773140559726221,0.2749012293690596,935.05,916.7,918.22
2003-01-23,0.25,0.3182,0.4318,1.0,0.37735,-0.1818,0.3761076426708409,0.4773140559726221,0.2749012293690596,906.0,877.64,878.36
2003-01-30,0.2553,0.266,0.4787,1.0,0.3430875,-0.2234,0.3761076426708409,0.4773140559726221,0.2749012293690596,868.72,844.25,864.36
2003-02-06,0.2286,0.5143,0.2571,1.0,0.3199375,-0.0284999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596,864.64,840.19,843.59
2003-02-13,0.219,0.4,0.381,1.0,0.2937375,-0.162,0.3761076426708409,0.4773140559726221,0.2749012293690596,843.02,818.49,818.68
2003-02-20,0.2105,0.2105,0.5789,0.9999,0.27005,-0.3683999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596,852.87,834.89,845.13
2003-02-27,0.2602,0.2683,0.4715,1.0,0.2620375,-0.2113,0.3761076426708409,0.4773140559726221,0.2749012293690596,848.17,818.54,827.55
2003-03-06,0.3333,0.2727,0.3939,0.9999,0.256075,-0.0605999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596,852.34,819.0,829.85
2003-03-13,0.3429,0.1429,0.5143,1.0001,0.262475,-0.1714,0.3761076426708409,0.4773140559726221,0.2749012293690596,828.89,788.9,804.19
2003-03-20,0.4286,0.1905,0.381,1.0001,0.2848,0.0475999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596,874.99,827.17,874.02
