Date,Close,Volume,Bullish_sentiment,Neutral_sentiment,Bearish_sentiment,Mov Avg_sentiment,Spread_sentiment,Average_sentiment,Close_sentiment
2004-02-19,1147.06005859375,1562800000,0.5645,0.2258,0.2097,0.6071375,0.3548,0.3761076426708409,1151.82
2004-02-26,1144.9100341796875,1383900000,0.4158,0.2789,0.3053,0.5811000000000001,0.1104999999999999,0.3761076426708409,1143.67
2004-03-04,1154.8699951171875,1265800000,0.4783,0.3913,0.1304,0.5569375,0.3479,0.3761076426708409,1151.03
2004-03-11,1106.780029296875,1889900000,0.4129,0.2516,0.3355,0.5256875,0.0773999999999999,0.3761076426708409,1123.89
2004-03-18,1122.3199462890625,1369200000,0.386,0.3509,0.2632,0.48705,0.1228,0.3761076426708409,1123.75
2004-03-25,1109.18994140625,1471700000,0.3148,0.2593,0.4259,0.4553,-0.1110999999999999,0.3761076426708409,1091.33
2004-04-01,1132.1700439453125,1560700000,0.5517,0.2241,0.2241,0.460625,0.3276,0.3761076426708409,1126.21
2004-04-08,1139.3199462890625,1199800000,0.5878,0.2095,0.2027,0.4639749999999999,0.3851,0.3761076426708409,1140.53
2004-04-15,1128.8399658203125,1568700000,0.6375,0.225,0.1375,0.4730999999999999,0.4999999999999999,0.3761076426708409,1128.17
2004-04-22,1139.9300537109375,1826700000,0.5,0.275,0.225,0.4836249999999999,0.275,0.3761076426708409,1124.09
2004-04-29,1113.8900146484375,1859000000,0.5,0.2879,0.2121,0.4863375,0.2879,0.3761076426708409,1122.41
2004-05-06,1113.989990234375,1509300000,0.3898,0.339,0.2712,0.48345,0.1185999999999999,0.3761076426708409,1121.53
2004-05-13,1096.43994140625,1411100000,0.3289,0.2368,0.4342,0.4763125,-0.1052999999999999,0.3761076426708409,1097.28
2004-05-20,1089.18994140625,1211000000,0.3667,0.2333,0.4,0.4828,-0.0332999999999999,0.3761076426708409,1088.68
